feature_config_id,window_profile,families,feature_count,feature_columns
long__market_core__macro_spot__crypto,long,"market_core,macro_spot,crypto",10,"avg_corr_12m,baa10y,bitcoin_available,bitcoin_mom_6m,equity_drawdown_12m,spx_mom_6m,spx_vol_12m,t10y2y,vix_change_6m,vixcls"
long__market_core__macro_memory__crypto,long,"market_core,macro_memory,crypto",9,"avg_corr_12m,baa_widen_18m,bitcoin_available,bitcoin_mom_6m,equity_drawdown_12m,inv_18m_any,spx_mom_6m,spx_vol_12m,vix_18m_max"
long__defensive_relative__macro_spot__macro_memory,long,"defensive_relative,macro_spot,macro_memory",9,"baa10y,baa_widen_18m,gold_rel_mom_12m,inv_18m_any,jpy_rel_mom_12m,t10y2y,vix_18m_max,vix_change_6m,vixcls"
long__defensive_relative__macro_spot__crypto,long,"defensive_relative,macro_spot,crypto",8,"baa10y,bitcoin_available,bitcoin_mom_6m,gold_rel_mom_12m,jpy_rel_mom_12m,t10y2y,vix_change_6m,vixcls"
long__defensive_relative__macro_memory__crypto,long,"defensive_relative,macro_memory,crypto",7,"baa_widen_18m,bitcoin_available,bitcoin_mom_6m,gold_rel_mom_12m,inv_18m_any,jpy_rel_mom_12m,vix_18m_max"
long__macro_spot__macro_memory__crypto,long,"macro_spot,macro_memory,crypto",9,"baa10y,baa_widen_18m,bitcoin_available,bitcoin_mom_6m,inv_18m_any,t10y2y,vix_18m_max,vix_change_6m,vixcls"
long__market_core__defensive_relative__macro_spot__macro_memory,long,"market_core,defensive_relative,macro_spot,macro_memory",13,"avg_corr_12m,baa10y,baa_widen_18m,equity_drawdown_12m,gold_rel_mom_12m,inv_18m_any,jpy_rel_mom_12m,spx_mom_6m,spx_vol_12m,t10y2y,vix_18m_max,vix_change_6m,vixcls"
long__market_core__defensive_relative__macro_spot__crypto,long,"market_core,defensive_relative,macro_spot,crypto",12,"avg_corr_12m,baa10y,bitcoin_available,bitcoin_mom_6m,equity_drawdown_12m,gold_rel_mom_12m,jpy_rel_mom_12m,spx_mom_6m,spx_vol_12m,t10y2y,vix_change_6m,vixcls"
long__market_core__defensive_relative__macro_memory__crypto,long,"market_core,defensive_relative,macro_memory,crypto",11,"avg_corr_12m,baa_widen_18m,bitcoin_available,bitcoin_mom_6m,equity_drawdown_12m,gold_rel_mom_12m,inv_18m_any,jpy_rel_mom_12m,spx_mom_6m,spx_vol_12m,vix_18m_max"
long__market_core__macro_spot__macro_memory__crypto,long,"market_core,macro_spot,macro_memory,crypto",13,"avg_corr_12m,baa10y,baa_widen_18m,bitcoin_available,bitcoin_mom_6m,equity_drawdown_12m,inv_18m_any,spx_mom_6m,spx_vol_12m,t10y2y,vix_18m_max,vix_change_6m,vixcls"
long__defensive_relative__macro_spot__macro_memory__crypto,long,"defensive_relative,macro_spot,macro_memory,crypto",11,"baa10y,baa_widen_18m,bitcoin_available,bitcoin_mom_6m,gold_rel_mom_12m,inv_18m_any,jpy_rel_mom_12m,t10y2y,vix_18m_max,vix_change_6m,vixcls"
long__market_core__defensive_relative__macro_spot__macro_memory__crypto,long,"market_core,defensive_relative,macro_spot,macro_memory,crypto",15,"avg_corr_12m,baa10y,baa_widen_18m,bitcoin_available,bitcoin_mom_6m,equity_drawdown_12m,gold_rel_mom_12m,inv_18m_any,jpy_rel_mom_12m,spx_mom_6m,spx_vol_12m,t10y2y,vix_18m_max,vix_change_6m,vixcls"
